,,,,,,,
Module Code,Quản lí cán bộ,,,,,,
Test requirement,"1. Tìm kiếm cán bộ.
2. Thêm cán bộ
FUNC-ThemCB-03,Nhập tên cán bộ quá số kí tự cho phép,"Tại màn hình Thêm cán bộ:
1. Nhập quá 100 ký tự tại [Tên cán bộ]textbox
2. Nhấn [Thêm] button.","Hiển thị thông báo: ""Vui lòng không nhập quá 100 ký tự!""
Trỏ chuột tại [Tên cán bộ]textbox.",,,,
FUNC-ThemCB-04,Nhập tên cán bộ toàn kí tự trống.,"Tại màn hình Thêm cán bộ:
1. Nhập toàn ký tự trống tại [Tên cán bộ]textbox
2. Nhấn [Thêm] button.","Hiển thị thông báo: ""Vui lòng không nhập toàn bộ ký tự trống!""
Trỏ chuột tại [Tên cán bộ]textbox.",,,,
FUNC-ThemCB-05,Nhập tên cán bộ có kí tự đặc biệt.,"Tại màn hình Thêm cán bộ:
1. Nhập ký tự đặc biệt tại [Tên cán bộ]textbox
2. Nhấn [Thêm] button.","Hiển thị thông báo: ""Vui lòng không nhập  ký tự đặc biệt!""
Trỏ chuột tại [Tên cán bộ]textbox.",,,,
FUNC-ThemCB-06,Nhập tên cán bộ có ký tự số.,"Tại màn hình Thêm cán bộ:
1. Nhập ký tự số tại [Tên cán bộ]textbox
2. Nhấn [Thêm] button.","Hiển thị thông báo: ""Vui lòng không nhập  ký tự số!""
Trỏ chuột tại [Tên cán bộ]textbox.",,,,
FUNC-ThemCB-07,Không chọn giới tính,"Tại màn hình Thêm cán bộ:
1. Không chọn giới tính tại [Giới tính]Combobox.
2. Nhấn [Thêm] button.","Hiển thị thông báo: ""Vui lòng chọn giới tính!""",,,,
FUNC-ThemCB-08,Không nhập ngày sinh,"Tại màn hình Thêm cán bộ:
1. Không chọn ngày sinh tại [Ngày sinh]Datechoose.
2. Nhấn [Thêm] button.","Hiển thị thông báo: ""Vui lòng chọn năm sinh!""",,,,
FUNC-ThemCB-09,Không nhập số điện thoại,"Tại màn hình Thêm cán bộ:
1. Không nhập dữ liệu vào [Số điện thoại] textbox.
2. Nhấn [Thêm] button.","Hiển thị thông báo: ""Vui lòng nhập số điện thoại!""
Trỏ chuột tại [Số điện thoại] textbox.",,,,
FUNC-ThemCB-10,Nhập quá số ký tự số điện thoại cho phép,"Tại màn hình Thêm cán bộ:
1. Nhập quá 50 ký tự tại [Số điện thoại]textbox
2. Nhấn [Thêm] button.","Hiển thị thông báo: ""Vui lòng không nhập quá 50 ký tự!""
Trỏ chuột tại [Số điện thoại]textbox.",,,,
FUNC-ThemCB-11,Nhập toàn ký tự trống.,"Tại màn hình Thêm cán bộ:
1. Nhập toàn bộ là ký tự trống tại [Số điện thoại]textbox
2. Nhấn [Thêm] button.","Hiển thị thông báo: ""Vui lòng không nhập toàn bộ là ký tự trống!""
Trỏ chuột tại [Số điện thoại]textbox.",,,,
FUNC-ThemCB-12,Nhập số điện thoại có ký tự là chữ cái.,"Tại màn hình Thêm cán bộ:
1. Nhập ký tự chữ cái tại [Số điện thoại]textbox
2. Nhấn [Thêm] button.","Hiển thị thông báo: ""Vui lòng không nhập chữ cái!""
Trỏ chuột tại [Số điện thoại]textbox.",,,,
FUNC-ThemCB-13,Nhập số điện thoại có ký tự đặc biệt.,"Tại màn hình Thêm cán bộ:
1. Nhập ký tự đặc biệt tại [Số điện thoại]textbox
2. Nhấn [Thêm] button.","Hiển thị thông báo: ""Vui lòng không nhập ký tự đặc biệt!""
Trỏ chuột tại [Số điện thoại]textbox.",,,,
FUNC-ThemCB-14,Không chọn hình ảnh ,"Tại màn hình Thêm cán bộ:
1. Không chọn hình ảnh đại diện. 
2. Nhấn [Thêm] button.","Hiển thị thông báo: ""Vui lòng chọn hình ảnh!""",,,,
FUNC-ThemCB-15,Không nhập địa chỉ email,"Tại màn hình Thêm cán bộ:
1. Không nhập dữ liệu vào [Email] textbox.
2. Nhấn [Thêm] button.","Hiển thị thông báo: ""Vui lòng nhập địa chỉ email!""
Trỏ chuột tại [Email] textbox.",,,,
FUNC-ThemCB-16,Nhập quá số ký tự email cho phép,"Tại màn hình Thêm cán bộ:
1. Nhập quá 50 ký tự tại [Email]textbox.
2. Nhấn [Thêm] button.","Hiển thị thông báo: ""Vui lòng không nhập quá 50 ký tự!""
Trỏ chuột vào [Email]textbox.",,,,
FUNC-ThemCB-17,Nhập sai định dạng email,"Tại màn hình Thêm cán bộ:
1. Nhập sai định dạng email tại [Email]textbox.
2. Nhấn [Thêm] button.","Hiển thị thông báo: ""Vui lòng nhập lại địa chỉ email!""
Trỏ chuột tại [Email] textbox.",,,,
